   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
1343: notes = 101101001110, scaleid = G46, rotationid = 3, modeid = G304, inverse = G281, scalename = 2123112
1344: notes = 110100111010, scaleid = G46, rotationid = 4, modeid = G183, inverse = G331, scalename = 1231122
1345: notes = 101001110101, scaleid = G46, rotationid = 5, modeid = G362, inverse = G164, scalename = 2311221
1346: notes = 100111010110, scaleid = G46, rotationid = 6, modeid = G392, inverse = G298, scalename = 3112212
1347: notes = 111010110010, scaleid = G47, rotationid = 0, modeid = G074, inverse = G366, scalename = 1122132
1348: notes = 110101100101, scaleid = G47, rotationid = 1, modeid = G170, inverse = G186, scalename = 1221321
1349: notes = 101011001011, scaleid = G47, rotationid = 2, modeid = G341, inverse = G083, scalename = 2213211
1350: notes = 101100101110, scaleid = G47, rotationid = 3, modeid = G314, inverse = G275, scalename = 2132112
1351: notes = 110010111010, scaleid = G47, rotationid = 4, modeid = G218, inverse = G329, scalename = 1321122
1352: notes = 100101110101, scaleid = G47, rotationid = 5, modeid = G418, inverse = G163, scalename = 3211221
1353: notes = 101110101100, scaleid = G47, rotationid = 6, modeid = G272, inverse = G405, scalename = 2112213
1354: notes = 111010101100, scaleid = G48, rotationid = 0, modeid = G076, inverse = G407, scalename = 1122213
1355: notes = 110101011001, scaleid = G48, rotationid = 1, modeid = G174, inverse = G211, scalename = 1222131
1356: notes = 101010110011, scaleid = G48, rotationid = 2, modeid = G348, inverse = G097, scalename = 2221311
1357: notes = 101011001110, scaleid = G48, rotationid = 3, modeid = G339, inverse = G279, scalename = 2213112
1358: notes = 101100111010, scaleid = G48, rotationid = 4, modeid = G309, inverse = G330, scalename = 2131122
1359: notes = 110011101010, scaleid = G48, rotationid = 5, modeid = G202, inverse = G345, scalename = 1311222
1360: notes = 100111010101, scaleid = G48, rotationid = 6, modeid = G393, inverse = G172, scalename = 3112221
1361: notes = 111010101010, scaleid = G49, rotationid = 0, modeid = G077, inverse = G351, scalename = 1122222
1362: notes = 110101010101, scaleid = G49, rotationid = 1, modeid = G176, inverse = G176, scalename = 1222221
1363: notes = 101010101011, scaleid = G49, rotationid = 2, modeid = G351, inverse = G077, scalename = 2222211
1364: notes = 101010101110, scaleid = G49, rotationid = 3, modeid = G349, inverse = G273, scalename = 2222112
1365: notes = 101010111010, scaleid = G49, rotationid = 4, modeid = G344, inverse = G328, scalename = 2221122
1366: notes = 101011101010, scaleid = G49, rotationid = 5, modeid = G328, inverse = G344, scalename = 2211222
1367: notes = 101110101010, scaleid = G49, rotationid = 6, modeid = G273, inverse = G349, scalename = 2112222
1368: notes = 111010100110, scaleid = G50, rotationid = 0, modeid = G079, inverse = G316, scalename = 1122312
1369: notes = 110101001101, scaleid = G50, rotationid = 1, modeid = G179, inverse = G156, scalename = 1223121
1370: notes = 101010011011, scaleid = G50, rotationid = 2, modeid = G355, inverse = G067, scalename = 2231211
1371: notes = 101001101110, scaleid = G50, rotationid = 3, modeid = G364, inverse = G270, scalename = 2312112
1372: notes = 100110111010, scaleid = G50, rotationid = 4, modeid = G400, inverse = G327, scalename = 3121122
1373: notes = 110111010100, scaleid = G50, rotationid = 5, modeid = G133, inverse = G425, scalename = 1211223
1374: notes = 101110101001, scaleid = G50, rotationid = 6, modeid = G274, inverse = G223, scalename = 2112231
1375: notes = 111010011100, scaleid = G51, rotationid = 0, modeid = G082, inverse = G397, scalename = 1123113
1376: notes = 110100111001, scaleid = G51, rotationid = 1, modeid = G184, inverse = G205, scalename = 1231131
1377: notes = 101001110011, scaleid = G51, rotationid = 2, modeid = G363, inverse = G094, scalename = 2311311
1378: notes = 100111001110, scaleid = G51, rotationid = 3, modeid = G395, inverse = G278, scalename = 3113112
1379: notes = 111001110100, scaleid = G51, rotationid = 4, modeid = G093, inverse = G419, scalename = 1131123
1380: notes = 110011101001, scaleid = G51, rotationid = 5, modeid = G203, inverse = G219, scalename = 1311231
1381: notes = 100111010011, scaleid = G51, rotationid = 6, modeid = G394, inverse = G102, scalename = 3112311
1382: notes = 111010011010, scaleid = G52, rotationid = 0, modeid = G083, inverse = G341, scalename = 1123122
1383: notes = 110100110101, scaleid = G52, rotationid = 1, modeid = G186, inverse = G170, scalename = 1231221
1384: notes = 101001101011, scaleid = G52, rotationid = 2, modeid = G366, inverse = G074, scalename = 2312211
1385: notes = 100110101110, scaleid = G52, rotationid = 3, modeid = G405, inverse = G272, scalename = 3122112
1386: notes = 110101110100, scaleid = G52, rotationid = 4, modeid = G163, inverse = G418, scalename = 1221123
1387: notes = 101011101001, scaleid = G52, rotationid = 5, modeid = G329, inverse = G218, scalename = 2211231
1388: notes = 101110100110, scaleid = G52, rotationid = 6, modeid = G275, inverse = G314, scalename = 2112312
1389: notes = 111010010110, scaleid = G53, rotationid = 0, modeid = G085, inverse = G306, scalename = 1123212
1390: notes = 110100101101, scaleid = G53, rotationid = 1, modeid = G189, inverse = G150, scalename = 1232121
1391: notes = 101001011011, scaleid = G53, rotationid = 2, modeid = G370, inverse = G064, scalename = 2321211
1392: notes = 100101101110, scaleid = G53, rotationid = 3, modeid = G420, inverse = G269, scalename = 3212112
1393: notes = 101101110100, scaleid = G53, rotationid = 4, modeid = G289, inverse = G417, scalename = 2121123
1394: notes = 110111010010, scaleid = G53, rotationid = 5, modeid = G134, inverse = G369, scalename = 1211232
1395: notes = 101110100101, scaleid = G53, rotationid = 6, modeid = G276, inverse = G188, scalename = 2112321
1396: notes = 111001110010, scaleid = G54, rotationid = 0, modeid = G094, inverse = G363, scalename = 1131132
1397: notes = 110011100101, scaleid = G54, rotationid = 1, modeid = G205, inverse = G184, scalename = 1311321
1398: notes = 100111001011, scaleid = G54, rotationid = 2, modeid = G397, inverse = G082, scalename = 3113211
1399: notes = 111001011100, scaleid = G54, rotationid = 3, modeid = G102, inverse = G394, scalename = 1132113
1400: notes = 110010111001, scaleid = G54, rotationid = 4, modeid = G219, inverse = G203, scalename = 1321131
1401: notes = 100101110011, scaleid = G54, rotationid = 5, modeid = G419, inverse = G093, scalename = 3211311
1402: notes = 101110011100, scaleid = G54, rotationid = 6, modeid = G278, inverse = G395, scalename = 2113113
1403: notes = 111001101100, scaleid = G55, rotationid = 0, modeid = G096, inverse = G404, scalename = 1131213
1404: notes = 110011011001, scaleid = G55, rotationid = 1, modeid = G209, inverse = G209, scalename = 1312131
1405: notes = 100110110011, scaleid = G55, rotationid = 2, modeid = G404, inverse = G096, scalename = 3121311
1406: notes = 110110011100, scaleid = G55, rotationid = 3, modeid = G152, inverse = G396, scalename = 1213113
1407: notes = 101100111001, scaleid = G55, rotationid = 4, modeid = G310, inverse = G204, scalename = 2131131
1408: notes = 110011100110, scaleid = G55, rotationid = 5, modeid = G204, inverse = G310, scalename = 1311312
1409: notes = 100111001101, scaleid = G55, rotationid = 6, modeid = G396, inverse = G152, scalename = 3113121
1410: notes = 111001101010, scaleid = G56, rotationid = 0, modeid = G097, inverse = G348, scalename = 1131222
1411: notes = 110011010101, scaleid = G56, rotationid = 1, modeid = G211, inverse = G174, scalename = 1312221
1412: notes = 100110101011, scaleid = G56, rotationid = 2, modeid = G407, inverse = G076, scalename = 3122211
1413: notes = 110101011100, scaleid = G56, rotationid = 3, modeid = G172, inverse = G393, scalename = 1222113
1414: notes = 101010111001, scaleid = G56, rotationid = 4, modeid = G345, inverse = G202, scalename = 2221131
1415: notes = 101011100110, scaleid = G56, rotationid = 5, modeid = G330, inverse = G309, scalename = 2211312
1416: notes = 101110011010, scaleid = G56, rotationid = 6, modeid = G279, inverse = G339, scalename = 2113122
1417: notes = 111001100110, scaleid = G57, rotationid = 0, modeid = G099, inverse = G313, scalename = 1131312
1418: notes = 110011001101, scaleid = G57, rotationid = 1, modeid = G214, inverse = G154, scalename = 1313121
1419: notes = 100110011011, scaleid = G57, rotationid = 2, modeid = G411, inverse = G066, scalename = 3131211
1420: notes = 110011011100, scaleid = G57, rotationid = 3, modeid = G207, inverse = G391, scalename = 1312113
1421: notes = 100110111001, scaleid = G57, rotationid = 4, modeid = G401, inverse = G201, scalename = 3121131
1422: notes = 110111001100, scaleid = G57, rotationid = 5, modeid = G136, inverse = G410, scalename = 1211313
1423: notes = 101110011001, scaleid = G57, rotationid = 6, modeid = G280, inverse = G213, scalename = 2113131
1424: notes = 111001011010, scaleid = G58, rotationid = 0, modeid = G103, inverse = G338, scalename = 1132122
1425: notes = 110010110101, scaleid = G58, rotationid = 1, modeid = G221, inverse = G168, scalename = 1321221
1426: notes = 100101101011, scaleid = G58, rotationid = 2, modeid = G422, inverse = G073, scalename = 3212211
1427: notes = 101101011100, scaleid = G58, rotationid = 3, modeid = G298, inverse = G392, scalename = 2122113
1428: notes = 110101110010, scaleid = G58, rotationid = 4, modeid = G164, inverse = G362, scalename = 1221132
1429: notes = 101011100101, scaleid = G58, rotationid = 5, modeid = G331, inverse = G183, scalename = 2211321
1430: notes = 101110010110, scaleid = G58, rotationid = 6, modeid = G281, inverse = G304, scalename = 2113212
1431: notes = 111001010110, scaleid = G59, rotationid = 0, modeid = G105, inverse = G303, scalename = 1132212
1432: notes = 110010101101, scaleid = G59, rotationid = 1, modeid = G224, inverse = G148, scalename = 1322121
1433: notes = 100101011011, scaleid = G59, rotationid = 2, modeid = G426, inverse = G063, scalename = 3221211
1434: notes = 101011011100, scaleid = G59, rotationid = 3, modeid = G333, inverse = G390, scalename = 2212113
1435: notes = 101101110010, scaleid = G59, rotationid = 4, modeid = G290, inverse = G361, scalename = 2121132
1436: notes = 110111001010, scaleid = G59, rotationid = 5, modeid = G137, inverse = G354, scalename = 1211322
1437: notes = 101110010101, scaleid = G59, rotationid = 6, modeid = G282, inverse = G178, scalename = 2113221
1438: notes = 111000110110, scaleid = G60, rotationid = 0, modeid = G115, inverse = G297, scalename = 1141212
1439: notes = 110001101101, scaleid = G60, rotationid = 1, modeid = G239, inverse = G145, scalename = 1412121
1440: notes = 100011011011, scaleid = G60, rotationid = 2, modeid = G447, inverse = G062, scalename = 4121211
1441: notes = 110110111000, scaleid = G60, rotationid = 3, modeid = G142, inverse = G442, scalename = 1212114
1442: notes = 101101110001, scaleid = G60, rotationid = 4, modeid = G291, inverse = G235, scalename = 2121141
1443: notes = 110111000110, scaleid = G60, rotationid = 5, modeid = G139, inverse = G319, scalename = 1211412
1444: notes = 101110001101, scaleid = G60, rotationid = 6, modeid = G285, inverse = G158, scalename = 2114121
1445: notes = 110110110100, scaleid = G61, rotationid = 0, modeid = G143, inverse = G421, scalename = 1212123
1446: notes = 101101101001, scaleid = G61, rotationid = 1, modeid = G294, inverse = G220, scalename = 2121231
1447: notes = 110110100110, scaleid = G61, rotationid = 2, modeid = G149, inverse = G315, scalename = 1212312
1448: notes = 101101001101, scaleid = G61, rotationid = 3, modeid = G305, inverse = G155, scalename = 2123121
1449: notes = 110100110110, scaleid = G61, rotationid = 4, modeid = G185, inverse = G296, scalename = 1231212
1450: notes = 101001101101, scaleid = G61, rotationid = 5, modeid = G365, inverse = G144, scalename = 2312121
1451: notes = 100110110110, scaleid = G61, rotationid = 6, modeid = G402, inverse = G292, scalename = 3121212
1452: notes = 110110110010, scaleid = G62, rotationid = 0, modeid = G144, inverse = G365, scalename = 1212132
1453: notes = 101101100101, scaleid = G62, rotationid = 1, modeid = G296, inverse = G185, scalename = 2121321
1454: notes = 110110010110, scaleid = G62, rotationid = 2, modeid = G155, inverse = G305, scalename = 1213212
1455: notes = 101100101101, scaleid = G62, rotationid = 3, modeid = G315, inverse = G149, scalename = 2132121
1456: notes = 110010110110, scaleid = G62, rotationid = 4, modeid = G220, inverse = G294, scalename = 1321212
1457: notes = 100101101101, scaleid = G62, rotationid = 5, modeid = G421, inverse = G143, scalename = 3212121
1458: notes = 101101101100, scaleid = G62, rotationid = 6, modeid = G292, inverse = G402, scalename = 2121213
1459: notes = 110110101100, scaleid = G63, rotationid = 0, modeid = G146, inverse = G406, scalename = 1212213
1460: notes = 101101011001, scaleid = G63, rotationid = 1, modeid = G300, inverse = G210, scalename = 2122131
1461: notes = 110101100110, scaleid = G63, rotationid = 2, modeid = G169, inverse = G312, scalename = 1221312
1462: notes = 101011001101, scaleid = G63, rotationid = 3, modeid = G340, inverse = G153, scalename = 2213121
1463: notes = 101100110110, scaleid = G63, rotationid = 4, modeid = G311, inverse = G295, scalename = 2131212
1464: notes = 110011011010, scaleid = G63, rotationid = 5, modeid = G208, inverse = G335, scalename = 1312122
1465: notes = 100110110101, scaleid = G63, rotationid = 6, modeid = G403, inverse = G166, scalename = 3121221
1466: notes = 110110101010, scaleid = G64, rotationid = 0, modeid = G147, inverse = G350, scalename = 1212222
1467: notes = 101101010101, scaleid = G64, rotationid = 1, modeid = G302, inverse = G175, scalename = 2122221
1468: notes = 110101010110, scaleid = G64, rotationid = 2, modeid = G175, inverse = G302, scalename = 1222212
1469: notes = 101010101101, scaleid = G64, rotationid = 3, modeid = G350, inverse = G147, scalename = 2222121
1470: notes = 101010110110, scaleid = G64, rotationid = 4, modeid = G346, inverse = G293, scalename = 2221212
1471: notes = 101011011010, scaleid = G64, rotationid = 5, modeid = G334, inverse = G334, scalename = 2212122
1472: notes = 101101101010, scaleid = G64, rotationid = 6, modeid = G293, inverse = G346, scalename = 2121222
1473: notes = 110110011010, scaleid = G65, rotationid = 0, modeid = G153, inverse = G340, scalename = 1213122
1474: notes = 101100110101, scaleid = G65, rotationid = 1, modeid = G312, inverse = G169, scalename = 2131221
1475: notes = 110011010110, scaleid = G65, rotationid = 2, modeid = G210, inverse = G300, scalename = 1312212
1476: notes = 100110101101, scaleid = G65, rotationid = 3, modeid = G406, inverse = G146, scalename = 3122121
1477: notes = 110101101100, scaleid = G65, rotationid = 4, modeid = G166, inverse = G403, scalename = 1221213
1478: notes = 101011011001, scaleid = G65, rotationid = 5, modeid = G335, inverse = G208, scalename = 2212131
1479: notes = 101101100110, scaleid = G65, rotationid = 6, modeid = G295, inverse = G311, scalename = 2121312
